fid,date,lg,htid,atid,y,h_f_ts,h_f_sot,h_f_ibox,h_f_corn,h_f_ts_v,h_a_ts,h_a_sot,h_a_blk,h_n,a_f_ts,a_f_sot,a_f_ibox,a_f_corn,a_f_ts_v,a_a_ts,a_a_sot,a_a_blk,a_n,lgm,h_rest,a_rest,h_l5_mean,h_l5_std,h_l5_n,a_l5_mean,a_l5_std,a_l5_n
1153096,2024-02-04,32,628,620,35,16.530321058334106,7.060642116668212,11.469678941665896,8.449464902776493,16.530321058334106,8.550535097223511,3.5505350972235097,2.5101070194447024,3,11.0,1.0,3.0,4.0,11.0,14.000000000000002,4.999999999999999,4.0,3,23.723641508136808,3,5,15.333333333333334,2.0548046676563256,3,17.666666666666668,12.364824660660938,3
1153099,2024-02-04,32,627,637,30,14.000000000000002,4.999999999999999,9.0,4.999999999999999,14.000000000000002,11.0,1.0,4.999999999999999,3,12.043318687745536,2.5072197812909227,5.521659343872768,3.0,12.043318687745536,16.898923061927086,6.0,1.4783406561272323,3,24.117445485216244,5,3,11.0,3.559026084010437,3,14.0,3.7416573867739413,3
1153095,2024-02-04,32,629,634,26,9.0,3.0,3.0,7.0,9.0,6.0,3.0,1.0,3,11.0,6.0,2.0,3.0,11.0,18.0,10.0,1.0,3,24.315949436594256,5,3,7.333333333333333,1.247219128924647,3,13.333333333333334,3.2998316455372216,3
1153098,2024-02-05,32,625,622,24,10.0,3.0,4.0,2.0,10.0,8.0,6.0,1.0,3,11.0,3.0,4.0,6.0,11.0,8.0,2.0,2.0,3,24.37092188802134,4,5,14.666666666666666,4.109609335312651,3,13.333333333333334,1.699673171197595,3
1153093,2024-02-05,32,638,621,29,11.008664122950588,2.0086641229505853,4.991335877049415,2.991335877049415,11.008664122950588,8.512996184425878,3.521660307376463,1.9826717540988297,3,4.0,2.0,3.0,2.0,4.0,35.0,10.0,11.0,3,24.359130870131963,5,3,9.666666666666666,2.0548046676563256,3,13.0,6.48074069840786,3
1168794,2024-02-06,122,111,109,17,14.0,6.0,10.0,3.0,14.0,19.0,5.0,5.0,3,14.235891713107502,4.938641025336714,8.691748498853151,4.555143036278619,14.235891713107502,8.012765350484603,1.2676409786172806,2.5595898286952528,5,23.734928141587744,13,14,11.666666666666666,1.699673171197595,3,14.6,4.223742416388575,5
1153092,2024-02-06,32,624,636,31,12.0,3.0,3.0,4.0,12.0,20.0,6.0,8.0,3,9.999999999999998,3.0,4.999999999999999,3.0,9.999999999999998,16.0,4.999999999999999,3.0,3,24.607244663456186,5,6,8.333333333333334,2.6246692913372702,3,14.666666666666666,6.599663291074444,3
1153097,2024-02-07,32,639,633,29,10.0,5.999999999999999,4.0,2.9999999999999996,10.0,15.0,2.9999999999999996,2.9999999999999996,3,10.448034765503444,3.5173217448321847,6.5519652344965555,3.5519652344965555,10.448034765503444,11.759826172482779,2.9999999999999996,2.0692869793287407,3,24.793779757490704,7,5,11.0,3.7416573867739413,3,10.0,1.4142135623730951,3
1168795,2024-02-07,122,116,97,29,13.919143844442386,7.919143844442385,8.979785961110597,0.5101070194447018,13.919143844442386,12.368608747218877,3.9393578833317893,3.9393578833317893,3,16.91959517223466,8.553534747872817,13.553534747872819,5.732120848723691,16.91959517223466,6.7232326260635915,1.5446465252127186,3.5446465252127184,4,23.54541374917222,13,14,13.333333333333334,3.39934634239519,3,19.25,7.495832175282475,4
1153106,2024-02-08,32,630,628,24,13.0,8.0,8.0,1.0,13.0,9.0,1.0,2.0,3,13.0,5.0,8.0,5.0,13.0,14.0,5.0,2.0,4,24.913705043235552,5,4,13.0,0.816496580927726,3,17.0,3.391164991562634,4
1153103,2024-02-08,32,622,627,20,14.51587928100733,3.968241437985338,7.452362156978007,10.611154967051316,14.51587928100733,6.999999999999999,3.515879281007331,1.484120718992669,4,9.601055867826698,2.456690342359987,7.572182762733354,4.5144365525466705,9.601055867826698,12.341197921986618,3.0,2.913380684719974,4,24.888233544095065,3,4,13.0,1.5811388300841898,4,11.0,3.082207001484488,4
1153104,2024-02-08,32,632,638,25,6.586608724160926,4.03464348966437,5.069286979328741,4.448034765503444,6.586608724160926,13.03464348966437,3.517321744832185,3.03464348966437,3,7.0,4.0,2.0,3.0,7.0,15.0,3.0,5.0,4,24.755659282602224,6,3,7.0,2.160246899469287,3,11.5,3.640054944640259,4
1153107,2024-02-09,32,620,634,24,20.555380131794738,5.872965751941353,11.682414379853384,8.452362156978008,20.555380131794738,5.547637843021993,2.0,1.0,4,9.979785961110595,4.469678941665895,3.0202140388894034,4.020214038889404,9.979785961110595,17.4898929805553,5.919143844442385,3.040428077778807,4,24.76211109103942,5,5,16.5,10.897247358851684,4,12.25,3.418698582794336,4
1153105,2024-02-09,32,621,629,18,17.52599041782837,3.9826730547810856,8.982673054781085,8.474009582171629,17.52599041782837,9.491336527390544,3.508663472609457,2.9826730547810856,4,6.5129935834518315,1.512993583451831,2.487006416548169,2.512993583451831,6.5129935834518315,10.89605133238535,2.9740128330963373,1.4610192496445062,4,24.74239462736117,4,5,12.75,5.629165124598851,4,9.75,4.322904116447646,4
1153101,2024-02-10,32,623,625,31,7.0,2.9999999999999996,5.0,2.9999999999999996,7.0,13.0,1.0,2.9999999999999996,3,16.89606953100689,4.96535651033563,6.930713020671259,6.586608724160927,16.89606953100689,15.103930468993113,4.551965234496556,3.551965234496556,4,24.57236201854274,4,5,9.666666666666666,3.7712361663282534,3,14.0,3.7416573867739413,4
1153108,2024-02-10,32,636,626,26,16.818089831674364,4.461019249644506,9.331083415126193,4.896051332385349,16.818089831674364,12.59095508416282,2.512993583451831,3.5649679172591564,4,10.0,6.0,8.0,5.0,10.0,12.0,3.0,1.0,4,24.73136298227743,4,7,14.25,5.7608593109014565,4,14.0,2.8284271247461903,4
1153102,2024-02-10,32,633,624,25,9.0,5.0,5.0,4.0,9.0,12.000000000000002,4.0,4.0,4,6.508663472609457,2.491336527390543,3.5259904178283716,5.999999999999999,6.508663472609457,13.577971253485115,2.9999999999999996,4.051980835656743,4,24.761987783503958,3,4,10.25,1.299038105676658,4,10.75,4.763139720814412,4
1153109,2024-02-11,32,631,639,18,10.564967917259157,2.0,3.5389807503554938,3.0,10.564967917259157,13.051974333807326,5.051974333807325,2.4870064165481685,4,11.603953579664267,2.023100795480948,7.557751988702371,3.069302386442845,11.603953579664267,9.999999999999998,2.023100795480948,2.488449602259526,4,24.767597951303372,5,4,11.0,2.5495097567963922,4,12.75,4.437059837324712,4
1153119,2024-02-11,32,627,632,28,12.456690342359988,3.4566903423599866,6.427817237266645,4.485563447453329,12.456690342359988,15.11549242037337,2.543309657640013,7.057746210186684,5,8.0,6.0,4.0,4.0,8.0,9.999999999999998,3.0,1.0,4,24.610870935572457,3,3,11.6,3.006659275674582,5,9.0,3.9370039370059056,4
1153120,2024-02-11,32,634,630,28,14.601055867826698,3.485563447453329,8.601055867826698,4.057746210186684,14.601055867826698,7.000000000000001,1.514436552546671,3.0000000000000004,5,13.014439562581845,4.0,7.463901093545387,5.521659343872768,13.014439562581845,11.536098906454614,5.0,2.5072197812909227,4,24.687581385576383,2,3,12.2,3.059411708155671,5,13.5,1.118033988749895,4
1153113,2024-02-13,32,638,637,26,13.095122812667459,3.7468768233699272,7.083829058902935,3.34259911241527,13.095122812667459,9.72733127786476,4.036486176151958,1.6404602569379412,5,14.456737446648358,3.025096570673993,7.422210700719778,4.734604943488996,14.456737446648358,14.852462841031091,4.612316045208803,2.0062362201648174,4,24.962093590535062,5,9,11.2,3.3105890714493698,5,15.25,3.897114317029974,4
1153115,2024-02-13,32,629,636,27,13.103948667614652,2.487006416548169,5.051974333807325,7.0,13.103948667614652,7.538980750355495,3.0,1.5129935834518315,5,11.543309657640012,3.0,6.5433096576400125,2.485563447453329,11.543309657640012,17.028873105093343,3.9711268949066576,5.057746210186684,5,24.98433948171894,4,3,9.6,3.8781438859330635,5,15.8,6.013318551349164,5
1153117,2024-02-14,32,639,623,31,14.12703424805865,5.48412071899267,7.095275686043985,7.642913529065978,14.12703424805865,12.936482875970679,4.5476378430219935,3.515879281007331,5,11.196234045486623,5.098117022743312,4.573587767057485,5.049058511371656,11.196234045486623,13.47547074431417,3.4264122329425155,3.475470744314172,4,25.02663544667215,3,4,11.8,4.3999999999999995,5,9.75,3.2691742076555053,4
1153112,2024-02-14,32,624,620,18,15.147175534114968,3.0,5.62264627842914,10.294351068229936,15.147175534114968,16.328295210199204,4.426412232942516,5.37735372157086,5,12.028873105093343,1.514436552546671,3.5144365525466714,2.9711268949066585,12.028873105093343,18.115492420373368,6.543309657640013,5.028873105093343,5,25.150098965513013,4,5,10.8,4.261455150532504,5,15.6,9.911609354691093,5
1153118,2024-02-15,32,625,631,12,11.02310079548095,2.488449602259526,4.511550397740474,4.046201590961896,11.02310079548095,10.046201590961896,5.488449602259526,3.0462015909618967,5,11.586608724160927,2.5519652344965555,7.138573958657482,4.5519652344965555,11.586608724160927,10.930713020671261,6.448034765503444,1.5173217448321854,5,25.005306235934086,5,4,15.4,4.363484845854286,5,10.8,2.315167380558045,5
1153111,2024-02-15,32,626,621,28,15.267426989275192,4.366286505362404,9.610971588754538,6.637659440915088,15.267426989275192,11.125547368247764,4.339598653201856,2.0227419058830574,5,8.196234045486625,3.5735877670574836,5.098117022743313,2.0,8.196234045486625,25.558473397655092,8.426412232942516,8.37735372157086,5,24.745704770122583,5,6,12.0,4.732863826479693,5,12.0,5.253570214625479,5
1169748,2024-02-16,112,3420,3432,25,16.0,7.0,14.0,5.0,16.0,9.0,5.0,4.0,3,10.0,4.0,4.0,5.0,10.0,13.0,5.0,5.0,3,26.09858880467454,6,5,12.666666666666666,2.494438257849294,3,12.0,3.559026084010437,3
1153116,2024-02-16,32,628,633,26,18.4277434575638,7.386503781993649,12.000544735629965,8.640444599423153,18.4277434575638,10.094046967143823,3.0126570872634524,3.0269483814168017,5,10.639822327225739,4.379960873787263,6.012714554200822,3.360177672774262,10.639822327225739,13.928056431032276,3.6949262371468814,2.7401385465615244,5,24.809393099574613,8,6,15.4,4.409081537009721,5,11.0,1.8973665961010275,5
1169749,2024-02-16,112,3427,3416,20,3.0000000000000004,1.0,2.0,2.0,3.0000000000000004,8.0,4.0,0.0,3,9.999999999999998,3.0,7.000000000000001,4.999999999999999,9.999999999999998,13.0,3.0,4.999999999999999,3,26.056580783331967,6,7,6.666666666666667,2.6246692913372702,3,11.0,3.7416573867739413,3
