
====================================================================================================
LIVE PREDICT — REMATES TOTALES — partidos NO empezados 2026-09-13T20:21:44.427334+00:00

### Como - Parma  [Serie A]  event=1027911649  start=2026-09-14T16:30:00Z
  λ_modelo=25.93 | λ_mercado≈26.79 | Δ=-0.85
   L23.5: O=1.34 U=2.75 | p_mod=0.628 p_mkt=0.672 Δ=-4.4pp | EV_O=-15.8% EV_U=+2.3% <== UNDER +EV
   L24.5: O=1.46 U=2.35 | p_mod=0.566 p_mkt=0.617 Δ=-5.1pp | EV_O=-17.3% EV_U=+1.9%
   L25.5: O=1.62 U=2.04 | p_mod=0.504 p_mkt=0.557 Δ=-5.4pp | EV_O=-18.4% EV_U=+1.2%
   L26.5: O=1.82 U=1.78 | p_mod=0.442 p_mkt=0.494 Δ=-5.2pp | EV_O=-19.5% EV_U=-0.8%
   L27.5: O=2.07 U=1.60 | p_mod=0.384 p_mkt=0.436 Δ=-5.2pp | EV_O=-20.6% EV_U=-1.4%
   L28.5: O=2.40 U=1.44 | p_mod=0.328 p_mkt=0.375 Δ=-4.7pp | EV_O=-21.3% EV_U=-3.2%
   L29.5: O=2.80 U=1.33 | p_mod=0.277 p_mkt=0.322 Δ=-4.5pp | EV_O=-22.5% EV_U=-3.8%

### Inter - Udinese  [Serie A]  event=1027911625  start=2026-09-14T18:45:00Z
  λ_modelo=27.87 | λ_mercado≈28.23 | Δ=-0.36
   L24.5: O=1.30 U=2.90 | p_mod=0.675 p_mkt=0.690 Δ=-1.6pp | EV_O=-12.3% EV_U=-5.6%
   L25.5: O=1.41 U=2.48 | p_mod=0.617 p_mkt=0.638 Δ=-2.0pp | EV_O=-13.0% EV_U=-5.1%
   L26.5: O=1.56 U=2.14 | p_mod=0.558 p_mkt=0.578 Δ=-2.0pp | EV_O=-12.9% EV_U=-5.5%
   L27.5: O=1.73 U=1.87 | p_mod=0.499 p_mkt=0.519 Δ=-2.1pp | EV_O=-13.7% EV_U=-6.3%
   L28.5: O=1.96 U=1.67 | p_mod=0.441 p_mkt=0.460 Δ=-1.9pp | EV_O=-13.6% EV_U=-6.6%
   L29.5: O=2.23 U=1.50 | p_mod=0.385 p_mkt=0.402 Δ=-1.8pp | EV_O=-14.2% EV_U=-7.7%
   L30.5: O=2.55 U=1.38 | p_mod=0.332 p_mkt=0.351 Δ=-2.0pp | EV_O=-15.4% EV_U=-7.8%
   L31.5: O=2.95 U=1.29 | p_mod=0.283 p_mkt=0.304 Δ=-2.2pp | EV_O=-16.6% EV_U=-7.5%

### Villarreal - Real Betis  [La Liga]  event=1028208782  start=2026-09-14T19:00:00Z
  λ_modelo=26.00 | λ_mercado≈27.91 | Δ=-1.91
   L24.5: O=1.32 U=2.80 | p_mod=0.570 p_mkt=0.680 Δ=-11.0pp | EV_O=-24.8% EV_U=+20.4% <== UNDER +EV
   L25.5: O=1.45 U=2.38 | p_mod=0.508 p_mkt=0.621 Δ=-11.4pp | EV_O=-26.4% EV_U=+17.2% <== UNDER +EV
   L26.5: O=1.60 U=2.05 | p_mod=0.446 p_mkt=0.562 Δ=-11.5pp | EV_O=-28.6% EV_U=+13.5% <== UNDER +EV
   L27.5: O=1.80 U=1.80 | p_mod=0.387 p_mkt=0.500 Δ=-11.3pp | EV_O=-30.3% EV_U=+10.3% <== UNDER +EV
   L28.5: O=2.04 U=1.61 | p_mod=0.332 p_mkt=0.441 Δ=-10.9pp | EV_O=-32.3% EV_U=+7.6% <== UNDER +EV
   L29.5: O=2.35 U=1.46 | p_mod=0.280 p_mkt=0.383 Δ=-10.3pp | EV_O=-34.1% EV_U=+5.1% <== UNDER +EV
   L30.5: O=2.70 U=1.34 | p_mod=0.234 p_mkt=0.332 Δ=-9.8pp | EV_O=-36.9% EV_U=+2.7% <== UNDER +EV
